"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"13","SRC AULIA","Jl. Cokroningrat, Sumberrejo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68419","","Q84X+C2 Sumberrejo, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+AULIA/@-8.2619603,114.3169796,14z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd15b5ecb099a87:0xe886525489be8e22!8m2!3d-8.2438775!4d114.3475357!5m1!1e1?hl=en",
"12","SRC Barokah","Gg. Barokah, Dusun Krajan, Pendarungan, Kec. Kabat, Kabupaten Banyuwangi, Jawa Timur 68461","","Q86G+FJ Pendarungan, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+Barokah/@-8.2619603,114.3169796,14z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd151562ab86d41:0xb4ddaba78b6f0141!8m2!3d-8.2387771!4d114.3265304!5m1!1e1?hl=en",
"11","SRC Aulia","Jl. Cokroningrat, Sumberrejo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68419","","Q84X+C2 Sumberrejo, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+Aulia/@-8.261961,114.3170654,14z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd15bc192265541:0xb4c2a1a27c8bd7d!8m2!3d-8.2438775!4d114.3475357!5m1!1e1?hl=en",
"10","Toko Hidup Sentosa","Jl. Adi Sucipto No.29, Tukangkayu, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416","src.id","Q9C7+6Q Tukangkayu, Banyuwangi Regency, East Java","5.0","2","https://www.google.com/maps/place/Toko+Hidup+Sentosa/@-8.2298532,114.3552601,14z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd15bfc174a29d5:0x704f081dcf527245!8m2!3d-8.2294745!4d114.3644275!5m1!1e1?hl=en",
"9","SRC ADZ SHOP","Jl. Ikan Paus, Karangrejo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68411","","Q9GJ+PM Karangrejo, Banyuwangi Regency, East Java","4.0","1","https://www.google.com/maps/place/SRC+ADZ+SHOP/@-8.229854,114.3553459,14z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd15bdd0db4f137:0x948e8782893f680e!8m2!3d-8.223169!4d114.3816673!5m1!1e1?hl=en",
"8","Toko Hidup Sentosa","Jl. Adi Sucipto No.29, Tukangkayu, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416","src.id","Q9C7+6Q Tukangkayu, Banyuwangi Regency, East Java","5.0","2","https://www.google.com/maps/place/Toko+Hidup+Sentosa/@-8.2336765,114.3262064,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd15bfc174a29d5:0x704f081dcf527245!8m2!3d-8.2294745!4d114.3644275!5m1!1e1?hl=en",
"7","Toko Limasepuluh 5/10","Jl. Kertanegara, Kebalenan, Kec. Banyuwangi, banyuwangi`, Jawa Timur 68417","","Q993+9R Kebalenan, Banyuwangi Regency, East Java","4.5","176","https://www.google.com/maps/place/Toko+Limasepuluh+5%2F10/@-8.2336765,114.3262064,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd15ab7629f684f:0x17aeae9c5853e2ce!8m2!3d-8.2315459!4d114.3545762!5m1!1e1?hl=en",
"6","SRC AULIA","Sumberrejo, Banyuwangi Sub-District, Banyuwangi Regency, East Java 68419","","Q84X+88 Sumberrejo, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+AULIA/@-8.2336765,114.3262064,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd15b04ccd15ab5:0x227f4bf991432052!8m2!3d-8.2441462!4d114.348269!5m1!1e1?hl=en",
"5","toko SRC Puput","Jl. Raden Wijaya, Lingkungan Klucing, Giri, Kec. Giri, Kabupaten Banyuwangi, Jawa Timur 68423","","R974+79 Giri, Banyuwangi Regency, East Java","5.0","5","https://www.google.com/maps/place/toko+SRC+Puput/@-8.2336765,114.3262064,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd1450e450a1bf7:0x2c1c7acc92fbab1b!8m2!3d-8.186758!4d114.3559498!5m1!1e1?hl=en",
"4","SRC Barokah","Gg. Barokah, Dusun Krajan, Pendarungan, Kec. Kabat, Kabupaten Banyuwangi, Jawa Timur 68461","","Q86G+FJ Pendarungan, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+Barokah/@-8.2336765,114.3262064,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd151562ab86d41:0xb4ddaba78b6f0141!8m2!3d-8.2387771!4d114.3265304!5m1!1e1?hl=en",
"3","SRC AULIA","Jl. Cokroningrat, Sumberrejo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68419","","Q84X+C2 Sumberrejo, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+AULIA/@-8.2336765,114.3262064,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd15b5ecb099a87:0xe886525489be8e22!8m2!3d-8.2438775!4d114.3475357!5m1!1e1?hl=en",
"2","SRC Aulia","Jl. Cokroningrat, Sumberrejo, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68419","","Q84X+C2 Sumberrejo, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+Aulia/@-8.2336765,114.3262064,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd15bc192265541:0xb4c2a1a27c8bd7d!8m2!3d-8.2438775!4d114.3475357!5m1!1e1?hl=en",
"1","Toko SRC ""RIO""","Jl. Ijen III, Lingkungan Sukowidi, Klatak, Kec. Kalipuro, Kabupaten Banyuwangi, Jawa Timur 68421","","R95C+7H Klatak, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/Toko+SRC+%22RIO%22/@-8.2336781,114.3263278,13.5z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd14504e5b475ab:0xfe6ac4a2821ba404!8m2!3d-8.1917866!4d114.3713891!5m1!1e1?hl=en",
